"Year","January","February","March","April","May","June","July","August","September","October","November","December"
2015,592.239855078623,881.989922574835,1049.06087266298,1110.14475918107,1419.15132057814,2319.52329493091,2871.68663498487,3189.73710378812,2237.10409169386,1686.45915870603,1525.53068731112,593.700983934306
2016,736.436920942532,879.172857950758,1142.52494457194,1425.58793243241,2050.77706165007,2761.07702131075,3627.33776626383,4290.89748554765,2998.85224090833,2170.76067142076,1767.29316323413,1268.84659621171
2017,865.118817162599,914.102887596266,1170.95706617376,1703.06040579137,1920.46311211277,2528.77580911658,3427.48856377113,3951.86132614865,2512.27306643501,2077.55559289642,1716.86197989087,1232.29804401108
2018,843.741143316062,969.886630525141,1215.9183829816,1471.64296507993,1814.54059506746,2425.12362697466,2858.35080646843,3170.82615521875,2383.7392348118,1752.59411015161,1523.64138905582,999.474318221718
2019,825.167887702803,820.403714065433,1351.34458226042,1555.17264803923,1889.32597609175,2226.39424484262,2592.14313336424,3113.72268350933,2457.08356832611,1920.51749492143,1660.68703317796,1288.033890556
2020,905.810617415368,990.562675472082,1119.40040634709,1561.26329537464,1850.45613655743,2827.10793660198,3241.14397673973,3888.98153585345,2565.32023159169,2135.60054346855,1810.5175425694,1314.85678018625
2021,917.553827160999,1028.43627411832,1250.05101565487,1585.38295227857,1698.68397846157,2841.52211717479,3465.96081227585,3805.4550974581,2758.08832314153,2162.07786118294,1837.56253533675,1360.39102750296
2022,875.098304948399,979.362239679841,1210.68477163871,1540.71360133771,1760.83658533865,2388.66024737885,2588.05614397134,2959.50701779518,2427.11194977635,1806.4281867971,1577.33147007253,1164.61451428366
2023,864.902721378852,863.949176601486,1053.62122357651,1399.03026781414,1637.72906494198,2171.78767076949,2635.4837066503,2883.64252723175,2155.63667281479,1875.2768418847,1619.35035559461,1195.72730355065
2024,813.808002736638,887.055017642359,1002.73708362902,1524.8259318502,1727.40531186883,2507.29807214928,2839.0537009497,3667.78988603825,2750.57526882253,2277.17740896194,1848.21427366341,1372.31150470521
2025,946.684444946768,960.426373017417,1266.34499092052,1456.16777417538,1749.40102680289,2597.57250356831,3697.58759003805,3715.16179625326,2601.1321973503,1998.20762641916,1749.66351448503,1170.52510048061
