Year,Month,Class,Threshold,Area_km2
2015.0,1.0,Bangladesh,-17,4903.229336120381
2015.0,2.0,Bangladesh,-16,5647.087195652127
2015.0,3.0,Bangladesh,-16,5489.695532793738
2015.0,4.0,Bangladesh,-15,5483.606994443104
2015.0,5.0,Bangladesh,-14,8240.135271754501
2015.0,6.0,Bangladesh,-13,19384.103812596906
2015.0,7.0,Bangladesh,-13,20793.662420220113
2015.0,8.0,Bangladesh,-13,21302.549123256686
2015.0,9.0,Bangladesh,-14,18620.59174286197
2015.0,10.0,Bangladesh,-15,11687.092701138416
2015.0,11.0,Bangladesh,-16,8185.094945394399
2015.0,12.0,Bangladesh,-17,6106.801804692379
2016.0,1.0,Bangladesh,-17,3069.7928448033317
2016.0,2.0,Bangladesh,-16,5693.217579856013
2016.0,3.0,Bangladesh,-16,5927.455914116031
2016.0,4.0,Bangladesh,-15,7713.93096257881
2016.0,5.0,Bangladesh,-14,13103.805164958767
2016.0,6.0,Bangladesh,-13,17100.862178989926
2016.0,7.0,Bangladesh,-13,28853.975653351656
2016.0,8.0,Bangladesh,-13,23080.641755686906
2016.0,9.0,Bangladesh,-14,17529.764334306295
2016.0,10.0,Bangladesh,-15,13824.94711817704
2016.0,11.0,Bangladesh,-16,10329.081180187985
2016.0,12.0,Bangladesh,-17,7226.435445968639
2017.0,1.0,Bangladesh,-17,5841.1464869435185
2017.0,2.0,Bangladesh,-16,5885.364927751523
2017.0,3.0,Bangladesh,-16,5897.916268056942
2017.0,4.0,Bangladesh,-15,10545.344359496046
2017.0,5.0,Bangladesh,-14,12192.183289119845
2017.0,6.0,Bangladesh,-13,16641.731025023513
2017.0,7.0,Bangladesh,-13,23324.23106061685
2017.0,8.0,Bangladesh,-13,27801.055565831768
2017.0,9.0,Bangladesh,-14,19126.053683077727
2017.0,10.0,Bangladesh,-15,14856.544999343356
2017.0,11.0,Bangladesh,-16,11103.310134170299
2017.0,12.0,Bangladesh,-17,7800.463012300736
2018.0,1.0,Bangladesh,-17,6197.012189501477
2018.0,2.0,Bangladesh,-16,6343.626081777923
2018.0,3.0,Bangladesh,-16,6214.7502289866925
2018.0,4.0,Bangladesh,-15,6709.887324150792
2018.0,5.0,Bangladesh,-14,9775.790275330544
2018.0,6.0,Bangladesh,-13,16208.446388598024
2018.0,7.0,Bangladesh,-13,19537.999309803632
2018.0,8.0,Bangladesh,-13,20060.904081010613
2018.0,9.0,Bangladesh,-14,16038.345940590185
2018.0,10.0,Bangladesh,-15,11176.178530559439
2018.0,11.0,Bangladesh,-16,8505.941349783636
2018.0,12.0,Bangladesh,-17,6191.276113153413
2019.0,1.0,Bangladesh,-17,5566.079956527914
2019.0,2.0,Bangladesh,-16,5702.804502217026
2019.0,3.0,Bangladesh,-16,6171.821497916161
2019.0,4.0,Bangladesh,-15,6445.577176799686
