Year,Month,Class,Threshold,Area_km2
2015.0,1.0,Jamalpur,-17,52.71029073294273
2015.0,2.0,Jamalpur,-16,79.1391821380821
2015.0,3.0,Jamalpur,-16,79.25410554703966
2015.0,4.0,Jamalpur,-15,80.38324235045572
2015.0,5.0,Jamalpur,-14,100.20731433033852
2015.0,6.0,Jamalpur,-13,195.2566457129865
2015.0,7.0,Jamalpur,-13,188.3989918224266
2015.0,8.0,Jamalpur,-13,362.31485086251496
2015.0,9.0,Jamalpur,-14,285.0423618733147
2015.0,10.0,Jamalpur,-15,113.59277934090453
2015.0,11.0,Jamalpur,-16,97.44587345959708
2015.0,12.0,Jamalpur,-17,70.24710318033851
2016.0,1.0,Jamalpur,-17,0.0
2016.0,2.0,Jamalpur,-16,76.83992035228248
2016.0,3.0,Jamalpur,-16,88.42519362884883
2016.0,4.0,Jamalpur,-15,105.71659244468826
2016.0,5.0,Jamalpur,-14,125.00774214458103
2016.0,6.0,Jamalpur,-13,166.56497042411922
2016.0,7.0,Jamalpur,-13,470.55535522725955
2016.0,8.0,Jamalpur,-13,275.6542838402572
2016.0,9.0,Jamalpur,-14,193.66870957946165
2016.0,10.0,Jamalpur,-15,159.53191377982924
2016.0,11.0,Jamalpur,-16,100.80161992033929
2016.0,12.0,Jamalpur,-17,70.8909383883923
2017.0,1.0,Jamalpur,-17,77.68977813329501
2017.0,2.0,Jamalpur,-16,86.97106295197223
2017.0,3.0,Jamalpur,-16,81.94689309950593
2017.0,4.0,Jamalpur,-15,106.07632374153641
2017.0,5.0,Jamalpur,-14,126.43022127353709
2017.0,6.0,Jamalpur,-13,160.79189459150592
2017.0,7.0,Jamalpur,-13,320.7604665713346
2017.0,8.0,Jamalpur,-13,600.6998337815372
2017.0,9.0,Jamalpur,-14,253.039724665468
2017.0,10.0,Jamalpur,-15,171.75364629789763
2017.0,11.0,Jamalpur,-16,103.88601120184967
2017.0,12.0,Jamalpur,-17,76.24250579563416
2018.0,1.0,Jamalpur,-17,78.98427379441635
2018.0,2.0,Jamalpur,-16,98.14815670086165
2018.0,3.0,Jamalpur,-16,97.43608041677388
2018.0,4.0,Jamalpur,-15,103.07629135233223
2018.0,5.0,Jamalpur,-14,120.36287801942785
2018.0,6.0,Jamalpur,-13,152.54102399147536
2018.0,7.0,Jamalpur,-13,210.35729006935898
2018.0,8.0,Jamalpur,-13,223.7717280593635
2018.0,9.0,Jamalpur,-14,222.92053080704656
2018.0,10.0,Jamalpur,-15,129.07823046448377
2018.0,11.0,Jamalpur,-16,101.40746572017459
2018.0,12.0,Jamalpur,-17,68.06023160454197
2019.0,1.0,Jamalpur,-17,75.64500531453736
2019.0,2.0,Jamalpur,-16,82.89508877724798
2019.0,3.0,Jamalpur,-16,87.2770460401003
2019.0,4.0,Jamalpur,-15,85.74562891940101
2019.0,5.0,Jamalpur,-14,111.63494834085475
2019.0,6.0,Jamalpur,-13,127.79531629172027
2019.0,7.0,Jamalpur,-13,568.4647409272906
2019.0,8.0,Jamalpur,-13,270.1954657305184
2019.0,9.0,Jamalpur,-14,181.63122495247794
2019.0,10.0,Jamalpur,-15,146.7223189419386
2019.0,11.0,Jamalpur,-16,103.756553096312
2019.0,12.0,Jamalpur,-17,79.99513741700747
2020.0,1.0,Jamalpur,-17,65.65415547067632
2020.0,2.0,Jamalpur,-16,87.49949234422867
2020.0,3.0,Jamalpur,-16,89.42595930784312
2020.0,4.0,Jamalpur,-15,97.38559814796642
2020.0,5.0,Jamalpur,-14,105.22185157694544
2020.0,6.0,Jamalpur,-13,165.64633400836797
2020.0,7.0,Jamalpur,-13,746.8831321950329
2020.0,8.0,Jamalpur,-13,421.6324118123082
2020.0,9.0,Jamalpur,-14,278.47963513720117
2020.0,10.0,Jamalpur,-15,157.06673939484932
2020.0,11.0,Jamalpur,-16,110.96350865531556
2020.0,12.0,Jamalpur,-17,83.96813268995098
2021.0,1.0,Jamalpur,-17,76.808559107418
2021.0,2.0,Jamalpur,-16,98.63547365370326
2021.0,3.0,Jamalpur,-16,106.79148029505973
2021.0,4.0,Jamalpur,-15,134.30726963440947
2021.0,5.0,Jamalpur,-14,120.30535045618487
2021.0,6.0,Jamalpur,-13,145.7650152630554
