Year,Month,Class,Threshold,Area_km2
2015.0,1.0,Maulvibazar,-17,28.79098399194239
2015.0,2.0,Maulvibazar,-16,39.17580849476485
2015.0,3.0,Maulvibazar,-16,15.82579442009804
2015.0,4.0,Maulvibazar,-15,52.237039945480994
2015.0,5.0,Maulvibazar,-14,111.39872924623536
2015.0,6.0,Maulvibazar,-13,316.91830900699665
2015.0,7.0,Maulvibazar,-13,339.7534701558209
2015.0,8.0,Maulvibazar,-13,383.8195761328884
2015.0,9.0,Maulvibazar,-14,331.083928279109
2015.0,10.0,Maulvibazar,-15,179.8272344073416
2015.0,11.0,Maulvibazar,-16,106.29365082045037
2015.0,12.0,Maulvibazar,-17,70.35299929635033
2016.0,1.0,Maulvibazar,-17,42.489189487354466
2016.0,2.0,Maulvibazar,-16,42.082029061757034
2016.0,3.0,Maulvibazar,-16,35.03780798903186
2016.0,4.0,Maulvibazar,-15,151.35450791196004
2016.0,5.0,Maulvibazar,-14,313.5852370627527
2016.0,6.0,Maulvibazar,-13,460.86936787200875
2016.0,7.0,Maulvibazar,-13,498.055488321124
2016.0,8.0,Maulvibazar,-13,334.77454521355673
2016.0,9.0,Maulvibazar,-14,326.7784339088961
2016.0,10.0,Maulvibazar,-15,246.06516345741036
2016.0,11.0,Maulvibazar,-16,175.4402673391353
2016.0,12.0,Maulvibazar,-17,99.94331804046035
2017.0,1.0,Maulvibazar,-17,53.5465657119485
2017.0,2.0,Maulvibazar,-16,32.55956012756204
2017.0,3.0,Maulvibazar,-16,33.6163380079427
2017.0,4.0,Maulvibazar,-15,268.2319482903644
2017.0,5.0,Maulvibazar,-14,284.6163641026616
2017.0,6.0,Maulvibazar,-13,593.8620109995932
2017.0,7.0,Maulvibazar,-13,611.9419562624958
2017.0,8.0,Maulvibazar,-13,533.2086096632694
2017.0,9.0,Maulvibazar,-14,427.54864078759533
2017.0,10.0,Maulvibazar,-15,349.6307617210899
2017.0,11.0,Maulvibazar,-16,251.20312144135633
2017.0,12.0,Maulvibazar,-17,160.5397474789484
2018.0,1.0,Maulvibazar,-17,86.32649521032859
2018.0,2.0,Maulvibazar,-16,57.862492067566635
2018.0,3.0,Maulvibazar,-16,33.88343564945235
2018.0,4.0,Maulvibazar,-15,51.93839986910997
2018.0,5.0,Maulvibazar,-14,347.2401113240501
2018.0,6.0,Maulvibazar,-13,407.6818917275654
2018.0,7.0,Maulvibazar,-13,401.63902243020016
2018.0,8.0,Maulvibazar,-13,342.3241789067474
2018.0,9.0,Maulvibazar,-14,247.8073456218253
2018.0,10.0,Maulvibazar,-15,151.5872826525276
2018.0,11.0,Maulvibazar,-16,94.49107105641089
2018.0,12.0,Maulvibazar,-17,56.068941170611204
2019.0,1.0,Maulvibazar,-17,38.293906700911464
2019.0,2.0,Maulvibazar,-16,35.471666117941936
2019.0,3.0,Maulvibazar,-16,35.54465412889092
2019.0,4.0,Maulvibazar,-15,50.817457445247385
2019.0,5.0,Maulvibazar,-14,83.50684999823454
2019.0,6.0,Maulvibazar,-13,248.62118777822062
2019.0,7.0,Maulvibazar,-13,558.8236668749877
2019.0,8.0,Maulvibazar,-13,354.15448006499656
2019.0,9.0,Maulvibazar,-14,222.2703954598998
2019.0,10.0,Maulvibazar,-15,178.6088252009268
2019.0,11.0,Maulvibazar,-16,124.53591222415746
2019.0,12.0,Maulvibazar,-17,56.04849138938802
2020.0,1.0,Maulvibazar,-17,40.38220335314797
2020.0,2.0,Maulvibazar,-16,35.70226010174631
2020.0,3.0,Maulvibazar,-16,31.208420429128353
2020.0,4.0,Maulvibazar,-15,32.931503382766536
2020.0,5.0,Maulvibazar,-14,76.76183784913069
2020.0,6.0,Maulvibazar,-13,312.4564545365348
2020.0,7.0,Maulvibazar,-13,508.7460325816361
2020.0,8.0,Maulvibazar,-13,326.53471911783424
2020.0,9.0,Maulvibazar,-14,240.00978879235606
