Year,Month,Class,Threshold,Area_km2
2015.0,1.0,Pabna,-17,66.53371865220586
2015.0,2.0,Pabna,-16,74.22582862321161
2015.0,3.0,Pabna,-16,85.6565460171799
2015.0,4.0,Pabna,-15,80.42898726438418
2015.0,5.0,Pabna,-14,95.82946575836787
2015.0,6.0,Pabna,-13,244.9531410502644
2015.0,7.0,Pabna,-13,328.91021740783617
2015.0,8.0,Pabna,-13,453.6385270623735
2015.0,9.0,Pabna,-14,417.5840079182907
2015.0,10.0,Pabna,-15,268.15106466546405
2015.0,11.0,Pabna,-16,120.40321823097823
2015.0,12.0,Pabna,-17,77.77810752331112
2016.0,1.0,Pabna,-17,0.0
2016.0,2.0,Pabna,-16,84.0050950575904
2016.0,3.0,Pabna,-16,89.95811980619638
2016.0,4.0,Pabna,-15,98.43218538769153
2016.0,5.0,Pabna,-14,116.94284053452061
2016.0,6.0,Pabna,-13,273.05376916339253
2016.0,7.0,Pabna,-13,509.12508000034114
2016.0,8.0,Pabna,-13,535.5547484895067
2016.0,9.0,Pabna,-14,435.30049979008515
2016.0,10.0,Pabna,-15,359.460540987305
2016.0,11.0,Pabna,-16,184.15923426922467
2016.0,12.0,Pabna,-17,89.3683608559283
2017.0,1.0,Pabna,-17,78.94858491053537
2017.0,2.0,Pabna,-16,87.14577037755437
2017.0,3.0,Pabna,-16,85.06407080373774
2017.0,4.0,Pabna,-15,116.23214840261572
2017.0,5.0,Pabna,-14,122.8160410783893
2017.0,6.0,Pabna,-13,162.81619941796873
2017.0,7.0,Pabna,-13,406.78571817832056
2017.0,8.0,Pabna,-13,562.0271234741876
2017.0,9.0,Pabna,-14,420.13407361371407
2017.0,10.0,Pabna,-15,340.7853048663452
2017.0,11.0,Pabna,-16,181.2324935113203
2017.0,12.0,Pabna,-17,92.31855438802083
2018.0,1.0,Pabna,-17,77.99913754736143
2018.0,2.0,Pabna,-16,89.08793715085406
2018.0,3.0,Pabna,-16,88.4306407018076
2018.0,4.0,Pabna,-15,93.7999464424441
2018.0,5.0,Pabna,-14,103.09519418643926
2018.0,6.0,Pabna,-13,136.80872445155495
2018.0,7.0,Pabna,-13,309.5323715170883
2018.0,8.0,Pabna,-13,414.87170758943427
2018.0,9.0,Pabna,-14,387.9493438136185
2018.0,10.0,Pabna,-15,179.23178460013784
2018.0,11.0,Pabna,-16,109.37473715956656
2018.0,12.0,Pabna,-17,78.97702148931911
2019.0,1.0,Pabna,-17,80.8133532794079
2019.0,2.0,Pabna,-16,84.03773556223959
2019.0,3.0,Pabna,-16,84.54995436299788
2019.0,4.0,Pabna,-15,89.49507095247779
2019.0,5.0,Pabna,-14,108.78194350114133
2019.0,6.0,Pabna,-13,123.5175872438305
2019.0,7.0,Pabna,-13,390.3214191141898
2019.0,8.0,Pabna,-13,417.380396274537
2019.0,9.0,Pabna,-14,333.0925149752263
2019.0,10.0,Pabna,-15,287.46827477922045
2019.0,11.0,Pabna,-16,120.42627178231095
2019.0,12.0,Pabna,-17,85.06416756295955
2020.0,1.0,Pabna,-17,75.73346122834324
2020.0,2.0,Pabna,-16,91.50802018134573
2020.0,3.0,Pabna,-16,87.57876354385334
2020.0,4.0,Pabna,-15,105.15090637511112
2020.0,5.0,Pabna,-14,103.8652239621247
2020.0,6.0,Pabna,-13,202.79673425393707
2020.0,7.0,Pabna,-13,555.0242250597784
2020.0,8.0,Pabna,-13,641.8806815278447
2020.0,9.0,Pabna,-14,481.17084057726345
2020.0,10.0,Pabna,-15,334.2595233699189
2020.0,11.0,Pabna,-16,133.72822448843456
2020.0,12.0,Pabna,-17,89.55009691225871
2021.0,1.0,Pabna,-17,84.84394545796184
2021.0,2.0,Pabna,-16,97.64307054890861
2021.0,3.0,Pabna,-16,100.76953099792446
2021.0,4.0,Pabna,-15,114.4937753713619
2021.0,5.0,Pabna,-14,119.99517237017088
2021.0,6.0,Pabna,-13,157.41151736070012
2021.0,7.0,Pabna,-13,366.3558561612864
2021.0,8.0,Pabna,-13,438.3026365878369
2021.0,9.0,Pabna,-14,389.5434486126112
2021.0,10.0,Pabna,-15,239.19070145415498
2021.0,11.0,Pabna,-16,117.18465853259809
2021.0,12.0,Pabna,-17,89.7126981652229
2022.0,1.0,Pabna,-17,80.57605740348117
2022.0,2.0,Pabna,-16,87.98271259738435
2022.0,3.0,Pabna,-16,92.43804105047869
2022.0,4.0,Pabna,-15,114.00241534149066
2022.0,5.0,Pabna,-14,111.07825046869647
2022.0,6.0,Pabna,-13,194.6849341806718
2022.0,7.0,Pabna,-13,262.6982024253102
2022.0,8.0,Pabna,-13,367.90548005673253
2022.0,9.0,Pabna,-14,322.8461421947422
2022.0,10.0,Pabna,-15,270.5015904190103
2022.0,11.0,Pabna,-16,131.0616768116498
2022.0,12.0,Pabna,-17,83.42943766321227
2023.0,1.0,Pabna,-17,78.69583145569086
2023.0,2.0,Pabna,-16,88.22773602301237
2023.0,3.0,Pabna,-16,85.60967850061267
2023.0,4.0,Pabna,-15,106.0965169107958
2023.0,5.0,Pabna,-14,107.4703989512867
2023.0,6.0,Pabna,-13,136.76503089594826
2023.0,7.0,Pabna,-13,292.8369077324718
2023.0,8.0,Pabna,-13,368.8369614627032
2023.0,9.0,Pabna,-14,302.16048126907566
2023.0,10.0,Pabna,-15,250.21599972681537
2023.0,11.0,Pabna,-16,113.04468885978095
2023.0,12.0,Pabna,-17,79.5964300301432
2024.0,1.0,Pabna,-17,70.05467381127063
2024.0,2.0,Pabna,-16,92.36400102517227
2024.0,3.0,Pabna,-16,82.90399285704271
2024.0,4.0,Pabna,-15,113.38004529019605
2024.0,5.0,Pabna,-14,112.35786330034088
2024.0,6.0,Pabna,-13,159.35258341276435
2024.0,7.0,Pabna,-13,380.98405972609953
2024.0,8.0,Pabna,-13,413.1498602054113
2024.0,9.0,Pabna,-14,281.0215201584635
2024.0,10.0,Pabna,-15,270.58364864203816
2024.0,11.0,Pabna,-16,127.87580754571461
2024.0,12.0,Pabna,-17,87.3403131977788
2025.0,1.0,Pabna,-17,85.52616557872625
2025.0,2.0,Pabna,-16,90.65229502715222
2025.0,3.0,Pabna,-16,94.43012431894923
2025.0,4.0,Pabna,-15,108.57353357003689
2025.0,5.0,Pabna,-14,121.13666810404798
2025.0,6.0,Pabna,-13,172.9962627404642
2025.0,7.0,Pabna,-13,260.8441319795382
2025.0,8.0,Pabna,-13,386.41416633892464
2025.0,9.0,Pabna,-14,317.7288944846624
2025.0,10.0,Pabna,-15,216.66162139920334
2025.0,11.0,Pabna,-16,131.27994396161148
2025.0,12.0,Pabna,-17,91.32527165917199
