Year,Month,Class,Threshold,Area_km2
2015.0,1.0,Rajshahi,-17,76.83470456006435
2015.0,2.0,Rajshahi,-16,74.60757518991646
2015.0,3.0,Rajshahi,-16,64.32065265427003
2015.0,4.0,Rajshahi,-15,40.99908538228018
2015.0,5.0,Rajshahi,-14,86.67132951959258
2015.0,6.0,Rajshahi,-13,130.40962371884578
2015.0,7.0,Rajshahi,-13,383.24215291885315
2015.0,8.0,Rajshahi,-13,290.23834044785167
2015.0,9.0,Rajshahi,-14,41.78127091315103
2015.0,10.0,Rajshahi,-15,163.33987347732833
2015.0,11.0,Rajshahi,-16,22.664074978396894
2015.0,12.0,Rajshahi,-17,73.540761563691
2016.0,1.0,Rajshahi,-17,7.405639139204197
2016.0,2.0,Rajshahi,-16,74.80360079556912
2016.0,3.0,Rajshahi,-16,15.573546474195778
2016.0,4.0,Rajshahi,-15,81.31784800534238
2016.0,5.0,Rajshahi,-14,78.50193949902722
2016.0,6.0,Rajshahi,-13,35.33864395969288
2016.0,7.0,Rajshahi,-13,496.64062527001823
2016.0,8.0,Rajshahi,-13,269.81476750866227
2016.0,9.0,Rajshahi,-14,245.61988106120134
2016.0,10.0,Rajshahi,-15,209.4821845841641
2016.0,11.0,Rajshahi,-16,158.13065073211544
2016.0,12.0,Rajshahi,-17,74.96316598695235
2017.0,1.0,Rajshahi,-17,70.49933743253673
2017.0,2.0,Rajshahi,-16,84.2426657538143
2017.0,3.0,Rajshahi,-16,84.87854568583792
2017.0,4.0,Rajshahi,-15,107.87748232650128
2017.0,5.0,Rajshahi,-14,110.93338419810819
2017.0,6.0,Rajshahi,-13,127.0577126459789
2017.0,7.0,Rajshahi,-13,206.95840247395824
2017.0,8.0,Rajshahi,-13,343.3314311218638
2017.0,9.0,Rajshahi,-14,291.84617557731303
2017.0,10.0,Rajshahi,-15,234.73475741264153
2017.0,11.0,Rajshahi,-16,184.93821428417576
2017.0,12.0,Rajshahi,-17,110.64419165694316
2018.0,1.0,Rajshahi,-17,95.67982510847503
2018.0,2.0,Rajshahi,-16,94.33042716630281
2018.0,3.0,Rajshahi,-16,103.7925625979243
2018.0,4.0,Rajshahi,-15,113.1859906189645
2018.0,5.0,Rajshahi,-14,116.58239389867498
2018.0,6.0,Rajshahi,-13,192.38773833736585
2018.0,7.0,Rajshahi,-13,231.53574759425533
2018.0,8.0,Rajshahi,-13,251.58293618569593
2018.0,9.0,Rajshahi,-14,212.05887985160447
2018.0,10.0,Rajshahi,-15,152.10163409262032
2018.0,11.0,Rajshahi,-16,128.53385798117728
2018.0,12.0,Rajshahi,-17,91.19809045485594
2019.0,1.0,Rajshahi,-17,89.07497512254517
2019.0,2.0,Rajshahi,-16,98.87307907388941
2019.0,3.0,Rajshahi,-16,103.80077617637487
2019.0,4.0,Rajshahi,-15,103.08326050370712
2019.0,5.0,Rajshahi,-14,134.07765048254822
2019.0,6.0,Rajshahi,-13,158.29133944963988
2019.0,7.0,Rajshahi,-13,506.4013977856089
2019.0,8.0,Rajshahi,-13,284.4107113317171
2019.0,9.0,Rajshahi,-14,207.59246534545412
2019.0,10.0,Rajshahi,-15,202.8622292577167
2019.0,11.0,Rajshahi,-16,155.48040685793887
2019.0,12.0,Rajshahi,-17,103.79075754040284
2020.0,1.0,Rajshahi,-17,92.6418436454082
2020.0,2.0,Rajshahi,-16,115.21240937943853
2020.0,3.0,Rajshahi,-16,111.54871952581186
2020.0,4.0,Rajshahi,-15,138.8058845153301
2020.0,5.0,Rajshahi,-14,132.78439465960088
2020.0,6.0,Rajshahi,-13,192.08588197845415
2020.0,7.0,Rajshahi,-13,555.4770785547239
2020.0,8.0,Rajshahi,-13,368.7166760881283
2020.0,9.0,Rajshahi,-14,288.66641775715016
2020.0,10.0,Rajshahi,-15,264.75463111935466
2020.0,11.0,Rajshahi,-16,181.87402168964843
2020.0,12.0,Rajshahi,-17,125.98912488959485
2021.0,1.0,Rajshahi,-17,104.50433620220973
2021.0,2.0,Rajshahi,-16,129.72233356265698
2021.0,3.0,Rajshahi,-16,126.45104162267153
2021.0,4.0,Rajshahi,-15,150.5695201169347
2021.0,5.0,Rajshahi,-14,145.49101135200291
2021.0,6.0,Rajshahi,-13,185.50074001889925
2021.0,7.0,Rajshahi,-13,428.760904119049
2021.0,8.0,Rajshahi,-13,334.5757135194355
2021.0,9.0,Rajshahi,-14,273.72468245895726
2021.0,10.0,Rajshahi,-15,220.50291530752875
2021.0,11.0,Rajshahi,-16,170.4309693925973
2021.0,12.0,Rajshahi,-17,111.0357478369447
2022.0,1.0,Rajshahi,-17,101.88114612127755
2022.0,2.0,Rajshahi,-16,133.7260361107039
2022.0,3.0,Rajshahi,-16,119.80562441573984
2022.0,4.0,Rajshahi,-15,146.84844037329967
2022.0,5.0,Rajshahi,-14,145.463313043413
2022.0,6.0,Rajshahi,-13,191.98211365979614
2022.0,7.0,Rajshahi,-13,268.3943463001034
2022.0,8.0,Rajshahi,-13,251.90154596658215
2022.0,9.0,Rajshahi,-14,230.00807613984352
2022.0,10.0,Rajshahi,-15,198.20731726117472
2022.0,11.0,Rajshahi,-16,150.15552561098346
2022.0,12.0,Rajshahi,-17,110.3188474788871
2023.0,1.0,Rajshahi,-17,101.78297599780561
2023.0,2.0,Rajshahi,-16,134.19602693858758
2023.0,3.0,Rajshahi,-16,132.23533836922485
2023.0,4.0,Rajshahi,-15,153.39993031466372
2023.0,5.0,Rajshahi,-14,145.3186037484222
2023.0,6.0,Rajshahi,-13,166.60726296305526
2023.0,7.0,Rajshahi,-13,296.7777220521369
2023.0,8.0,Rajshahi,-13,242.96030155875079
2023.0,9.0,Rajshahi,-14,210.93085997787205
2023.0,10.0,Rajshahi,-15,209.85688025026786
2023.0,11.0,Rajshahi,-16,145.55112607215082
2023.0,12.0,Rajshahi,-17,98.31464777467069
2024.0,1.0,Rajshahi,-17,82.35101237519144
2024.0,2.0,Rajshahi,-16,129.55672512460555
2024.0,3.0,Rajshahi,-16,102.02675660593215
2024.0,4.0,Rajshahi,-15,153.36112018254062
2024.0,5.0,Rajshahi,-14,152.8851326003026
2024.0,6.0,Rajshahi,-13,197.9701041769493
2024.0,7.0,Rajshahi,-13,402.0993928892848
2024.0,8.0,Rajshahi,-13,288.52045604730023
2024.0,9.0,Rajshahi,-14,229.16484306753603
2024.0,10.0,Rajshahi,-15,205.8893698580882
2024.0,11.0,Rajshahi,-16,158.64314711640242
2024.0,12.0,Rajshahi,-17,105.5103047299594
2025.0,1.0,Rajshahi,-17,103.02417159403342
2025.0,2.0,Rajshahi,-16,108.97508231793807
2025.0,3.0,Rajshahi,-16,131.29139903566946
2025.0,4.0,Rajshahi,-15,139.23990741828663
2025.0,5.0,Rajshahi,-14,147.95173293530186
2025.0,6.0,Rajshahi,-13,195.28878681285613
2025.0,7.0,Rajshahi,-13,383.1191090799171
2025.0,8.0,Rajshahi,-13,385.0305505736486
2025.0,9.0,Rajshahi,-14,269.90809448008577
