system:index,area_km2,division,year,.geo
0,0,Mymensingh,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,Mymensingh,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,Mymensingh,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,Mymensingh,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,Mymensingh,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,Mymensingh,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,Mymensingh,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,Mymensingh,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,Mymensingh,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,Mymensingh,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,Mymensingh,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
