Year,Month,Class,Threshold,Area_km2
2015,1,Bagerhat,-17,106.65408699368102
2015,2,Bagerhat,-16,171.56037305823372
2015,3,Bagerhat,-16,164.48995477845054
2015,4,Bagerhat,-15,211.4479185259116
2015,5,Bagerhat,-14,280.281490925808
2015,6,Bagerhat,-13,658.8895427390703
2015,7,Bagerhat,-13,609.7786401193438
2015,8,Bagerhat,-13,566.6151624131198
2015,9,Bagerhat,-14,448.858304153565
2015,10,Bagerhat,-15,291.4563724116156
2015,11,Bagerhat,-16,248.7510977499541
2015,12,Bagerhat,-17,190.24191647305463
2016,1,Bagerhat,-17,0.0
2016,2,Bagerhat,-16,161.46579520282253
2016,3,Bagerhat,-16,212.5219937151923
2016,4,Bagerhat,-15,247.1081699002029
2016,5,Bagerhat,-14,521.5225996254978
2016,6,Bagerhat,-13,671.5144700179223
2016,7,Bagerhat,-13,725.5493298682559
2016,8,Bagerhat,-13,764.6718154215345
2016,9,Bagerhat,-14,607.5794334775121
2016,10,Bagerhat,-15,398.1887805535426
2016,11,Bagerhat,-16,326.0497212587049
2016,12,Bagerhat,-17,237.49438614440868
2017,1,Bagerhat,-17,163.96731202819396
2017,2,Bagerhat,-16,157.60030160003066
2017,3,Bagerhat,-16,200.32576968591445
2017,4,Bagerhat,-15,342.2290003939224
2017,5,Bagerhat,-14,377.3842392495595
2017,6,Bagerhat,-13,650.6620495070963
2017,7,Bagerhat,-13,728.9616772568667
2017,8,Bagerhat,-13,780.3582537548449
2017,9,Bagerhat,-14,510.3786232789212
2017,10,Bagerhat,-15,375.75831751718
2017,11,Bagerhat,-16,296.889427227566
2017,12,Bagerhat,-17,216.06561282080648
2018,1,Bagerhat,-17,161.20641479820006
2018,2,Bagerhat,-16,194.9191997504096
2018,3,Bagerhat,-16,215.64664576816787
2018,4,Bagerhat,-15,265.48308750901475
2018,5,Bagerhat,-14,382.5878785843786
2018,6,Bagerhat,-13,606.9214242727633
2018,7,Bagerhat,-13,649.0766484918277
2018,8,Bagerhat,-13,676.5026310707798
2018,9,Bagerhat,-14,519.7483732355006
2018,10,Bagerhat,-15,319.27518982399283
2018,11,Bagerhat,-16,274.2976276656174
2018,12,Bagerhat,-17,182.8118397337086
2019,1,Bagerhat,-17,156.39512753082488
2019,2,Bagerhat,-16,154.80450246947373
2019,3,Bagerhat,-16,246.6770348108724
2019,4,Bagerhat,-15,277.9353281469744
2019,5,Bagerhat,-14,405.30576315704616
2019,6,Bagerhat,-13,474.4889242016461
2019,7,Bagerhat,-13,625.6178741475721
2019,8,Bagerhat,-13,642.945745722415
2019,9,Bagerhat,-14,509.1862800298325
2019,10,Bagerhat,-15,333.888939627072
2019,11,Bagerhat,-16,298.0381869492343
2019,12,Bagerhat,-17,215.06366150852097
2020,1,Bagerhat,-17,155.49101373072915
2020,2,Bagerhat,-16,175.28211206019833
2020,3,Bagerhat,-16,185.16831670239728
2020,4,Bagerhat,-15,262.2774099847387
2020,5,Bagerhat,-14,363.75345488700594
2020,6,Bagerhat,-13,593.2580995107576
2020,7,Bagerhat,-13,604.2462270723572
2020,8,Bagerhat,-13,728.3865966634457
2020,9,Bagerhat,-14,499.0831371868947
2020,10,Bagerhat,-15,396.5396873352596
2020,11,Bagerhat,-16,337.75083852304687
