Band Value,VV Count
-27.2,1
-27,
-26.8,1
-26.6,1
-26.4,
-26.2,4
-26,9
-25.8,5
-25.6,9
-25.4,14
-25.2,26.761
-25,33.624
-24.8,71.89
-24.6,84.298
-24.4,130.114
-24.2,166.859
-24,240.969
-23.8,334.047
-23.6,439.451
-23.4,607.259
-23.2,782.549
-23,"1,097.498"
-22.8,"1,468.345"
-22.6,"1,915.796"
-22.4,"2,563.114"
-22.2,"3,564.694"
-22,"4,543.29"
-21.8,"5,767.173"
-21.6,"7,683.545"
-21.4,"9,789.827"
-21.2,"12,527.239"
-21,"15,880.463"
-20.8,"19,898.91"
-20.6,"24,285.067"
-20.4,"29,053.761"
-20.2,"34,067.761"
-20,"39,409.545"
-19.8,"44,089.706"
-19.6,"47,882.369"
-19.4,"50,881.314"
-19.2,"53,038.247"
-19,"52,774.027"
-18.8,"51,541.671"
-18.6,"48,670.161"
-18.4,"44,778.82"
-18.2,"39,898.537"
-18,"34,824.686"
-17.8,"29,368.945"
-17.6,"24,545.114"
-17.4,"20,202.471"
-17.2,"16,550.816"
-17,"13,445.004"
-16.8,"11,081.58"
-16.6,"9,480.714"
-16.4,"8,167.008"
-16.2,"7,209.478"
-16,"6,894.396"
-15.8,"6,558.329"
-15.6,"6,594.42"
-15.4,"6,559.463"
-15.2,"6,456.153"
-15,"6,666.153"
-14.8,"6,972.235"
-14.6,"7,083.255"
-14.4,"7,275.482"
-14.2,"7,491.102"
-14,"7,691.239"
-13.8,"7,862.361"
-13.6,"8,377.98"
-13.4,"8,477.349"
-13.2,"9,020.576"
-13,"9,325.431"
-12.8,"10,091.31"
-12.6,"10,734.894"
-12.4,"11,710.941"
-12.2,"12,950.071"
-12,"13,943.973"
-11.8,"15,634.31"
-11.6,"17,109.569"
-11.4,"19,114.667"
-11.2,"21,344.925"
-11,"23,991.761"
-10.8,"26,802.988"
-10.6,"30,136.62"
-10.4,"33,459.361"
-10.2,"38,011.859"
-10,"42,243.235"
-9.8,"46,664.18"
-9.6,"52,365.047"
-9.4,"57,416"
-9.2,"62,594.369"
-9,"68,522.863"
-8.8,"73,433.859"
-8.6,"78,367.388"
-8.4,"82,222.961"
-8.2,"85,387.898"
-8,"87,222.565"
-7.8,"87,607.408"
-7.6,"86,171.549"
-7.4,"82,314.408"
-7.2,"78,163.996"
-7,"71,817.773"
-6.8,"64,896.192"
-6.6,"56,554.251"
-6.4,"48,294.886"
-6.2,"40,482.294"
-6,"33,476.773"
-5.8,"27,097.733"
-5.6,"21,771.804"
-5.4,"16,982.455"
-5.2,"13,388.933"
-5,"10,574.067"
-4.8,"8,157.349"
-4.6,"6,304.545"
-4.4,"5,001.396"
-4.2,"3,834.557"
-4,"3,149.314"
-3.8,"2,491.094"
-3.6,"1,995.396"
-3.4,"1,668.761"
-3.2,"1,324.239"
-3,"1,052.196"
-2.8,862.071
-2.6,803.137
-2.4,637.91
-2.2,520
-2,415
-1.8,363
-1.6,319
-1.4,260.478
-1.2,254.071
-1,212
-0.8,169.027
-0.6,138.643
-0.4,142
-0.2,117
0,94
0.2,83.012
0.4,88
0.6,68.686
0.8,63
1,47
1.2,39
1.4,53
1.6,43
1.8,29
2,33
2.2,28
2.4,25
2.6,19
2.8,16
3,18.294
3.2,20
3.4,8
3.6,9
3.8,10
4,9
4.2,8
4.4,4
4.6,4
4.8,8
5,7
5.2,7
5.4,8
5.6,4
5.8,1
6,4
6.2,2
6.4,3
6.6,5
6.8,1
7,4
7.2,5
7.4,2
7.6,2
7.8,2
8,1
8.2,
8.4,1
8.6,2
8.8,1
9,1
9.2,1
9.4,
9.6,
9.8,
10,1
10.2,1
10.4,
10.6,1
10.8,1
11,
11.2,
11.4,1
11.6,
11.8,
12,1
