district,division,month,month_name,total_area_km2,water_area_km2,water_fraction,year,water_area_calibrated_km2,season
Bagerhat,Khulna,1,January,3965.62,140.62,0.035459,2015,325.4,Dry Winter (Dec-Feb)
Bandarban,Chittagong,1,January,5000.66,0.17,3.4e-05,2015,0.4,Dry Winter (Dec-Feb)
Barguna,Barisal,1,January,1547.28,150.92,0.097542,2015,349.3,Dry Winter (Dec-Feb)
Barisal,Barisal,1,January,2767.25,403.52,0.14582,2015,933.8,Dry Winter (Dec-Feb)
Bhola,Barisal,1,January,2471.69,640.51,0.259139,2015,1482.3,Dry Winter (Dec-Feb)
Bogra,Rajshahi,1,January,3233.63,112.88,0.034909,2015,261.2,Dry Winter (Dec-Feb)
Brahamanbaria,Chittagong,1,January,2104.07,47.87,0.022752,2015,110.8,Dry Winter (Dec-Feb)
Chandpur,Chittagong,1,January,1864.17,234.04,0.125549,2015,541.6,Dry Winter (Dec-Feb)
Chittagong,Chittagong,1,January,4736.75,85.47,0.018044,2015,197.8,Dry Winter (Dec-Feb)
Chuadanga,Khulna,1,January,1233.0,5.16,0.004182,2015,11.9,Dry Winter (Dec-Feb)
Comilla,Chittagong,1,January,3351.85,24.19,0.007216,2015,56.0,Dry Winter (Dec-Feb)
Cox's Bazar,Chittagong,1,January,2206.6,28.83,0.013065,2015,66.7,Dry Winter (Dec-Feb)
Dhaka,Dhaka,1,January,1611.18,56.6,0.035129,2015,131.0,Dry Winter (Dec-Feb)
Dinajpur,Rangpur,1,January,3829.09,7.27,0.001899,2015,16.8,Dry Winter (Dec-Feb)
Faridpur,Dhaka,1,January,2227.54,98.53,0.044231,2015,228.0,Dry Winter (Dec-Feb)
Feni,Chittagong,1,January,960.78,4.45,0.004629,2015,10.3,Dry Winter (Dec-Feb)
Gaibandha,Rangpur,1,January,2410.25,82.78,0.034347,2015,191.6,Dry Winter (Dec-Feb)
Gazipur,Dhaka,1,January,1940.74,15.34,0.007906,2015,35.5,Dry Winter (Dec-Feb)
Gopalganj,Dhaka,1,January,1602.77,23.93,0.014931,2015,55.4,Dry Winter (Dec-Feb)
Habiganj,Sylhet,1,January,2857.81,28.21,0.009872,2015,65.3,Dry Winter (Dec-Feb)
Jamalpur,Dhaka,1,January,2272.36,66.53,0.029278,2015,154.0,Dry Winter (Dec-Feb)
Jessore,Khulna,1,January,2784.67,43.82,0.015737,2015,101.4,Dry Winter (Dec-Feb)
Jhalokati,Barisal,1,January,807.93,28.71,0.035535,2015,66.4,Dry Winter (Dec-Feb)
Jhenaidah,Khulna,1,January,2143.26,14.42,0.006728,2015,33.4,Dry Winter (Dec-Feb)
Joypurhat,Rajshahi,1,January,1081.54,0.54,0.000499,2015,1.2,Dry Winter (Dec-Feb)
Khagrachhari,Chittagong,1,January,3108.48,1.31,0.000423,2015,3.0,Dry Winter (Dec-Feb)
Khulna,Khulna,1,January,3868.06,131.82,0.034078,2015,305.1,Dry Winter (Dec-Feb)
Kishoreganj,Dhaka,1,January,2821.62,88.57,0.031389,2015,205.0,Dry Winter (Dec-Feb)
Kurigram,Rangpur,1,January,2481.86,215.51,0.086835,2015,498.7,Dry Winter (Dec-Feb)
Kushtia,Khulna,1,January,1830.28,71.39,0.039005,2015,165.2,Dry Winter (Dec-Feb)
Lakshmipur,Chittagong,1,January,1573.07,282.79,0.179773,2015,654.4,Dry Winter (Dec-Feb)
Lalmonirhat,Rangpur,1,January,1381.75,4.18,0.003027,2015,9.7,Dry Winter (Dec-Feb)
Madaripur,Dhaka,1,January,1257.23,46.49,0.03698,2015,107.6,Dry Winter (Dec-Feb)
Magura,Khulna,1,January,1143.98,7.97,0.006964,2015,18.4,Dry Winter (Dec-Feb)
Manikganj,Dhaka,1,January,1531.92,139.79,0.091249,2015,323.5,Dry Winter (Dec-Feb)
Maulvibazar,Sylhet,1,January,2819.05,34.75,0.012326,2015,80.4,Dry Winter (Dec-Feb)
Meherpur,Khulna,1,January,732.79,2.16,0.002948,2015,5.0,Dry Winter (Dec-Feb)
Munshiganj,Dhaka,1,January,1036.66,77.02,0.074296,2015,178.2,Dry Winter (Dec-Feb)
Mymensingh,Dhaka,1,January,4784.19,30.37,0.006348,2015,70.3,Dry Winter (Dec-Feb)
Naogaon,Rajshahi,1,January,3823.94,54.09,0.014144,2015,125.2,Dry Winter (Dec-Feb)
Narail,Khulna,1,January,1072.86,21.34,0.019894,2015,49.4,Dry Winter (Dec-Feb)
Narayanganj,Dhaka,1,January,832.16,42.13,0.050626,2015,97.5,Dry Winter (Dec-Feb)
Narsingdi,Dhaka,1,January,1281.34,54.55,0.042576,2015,126.2,Dry Winter (Dec-Feb)
Natore,Rajshahi,1,January,2101.7,17.95,0.00854,2015,41.5,Dry Winter (Dec-Feb)
Nawabganj,Rajshahi,1,January,1804.38,82.57,0.045761,2015,191.1,Dry Winter (Dec-Feb)
