year,month,month_name,water_area_km2,total_area_km2,water_area_calibrated_km2
2015,1,January,5742.840000000002,153584.23999999996,13290.0
2015,2,February,5676.430000000001,153442.90999999995,13136.3
2015,3,March,5638.82,153584.89999999997,13049.2
2015,4,April,4198.180000000001,153585.08999999997,9715.3
2015,5,May,5937.080000000001,153584.88999999996,13739.5
2015,6,June,10922.31,153584.90999999997,25276.2
2015,7,July,13575.270000000002,153583.73999999996,31415.6
2015,8,August,13336.47,153582.95999999996,30863.0
2015,9,September,15679.550000000003,144319.61,36285.3
2015,10,October,10858.23,153576.19999999995,25127.9
2015,11,November,8559.459999999995,144369.68,19808.1
2015,12,December,7100.500000000001,146849.45,16431.8
2016,1,January,6051.01,130654.64999999995,14003.1
2016,2,February,5797.830000000003,153583.72999999998,13417.2
2016,3,March,6088.88,151310.12999999998,14090.8
2016,4,April,6726.29,153583.71999999997,15565.8
2016,5,May,10648.05,153584.82999999996,24641.5
2016,6,June,11866.489999999994,151570.35999999996,27461.2
2016,7,July,19112.519999999993,153570.84,44229.8
2016,8,August,14541.820000000007,153583.52999999997,33652.4
2016,9,September,15036.310000000001,153583.79999999996,34796.7
2016,10,October,13316.59,153584.14999999997,30817.0
2016,11,November,10772.81,153583.82999999996,24930.2
2016,12,December,8453.0,153583.79999999996,19561.8
2017,1,January,6795.130000000002,153583.78999999998,15725.1
2017,2,February,6031.929999999999,153585.20999999996,13959.0
2017,3,March,6061.710000000001,153585.20999999996,14027.9
2017,4,April,9689.860000000002,153585.19999999995,22424.1
2017,5,May,10719.189999999999,153585.20999999996,24806.1
2017,6,June,12002.130000000003,153585.20999999996,27775.1
2017,7,July,16198.630000000006,153585.20999999996,37486.5
2017,8,August,19158.35999999999,153585.19999999995,44335.9
2017,9,September,16976.899999999998,153585.19999999995,39287.6
2017,10,October,13865.110000000002,153585.19999999995,32086.3
2017,11,November,11601.969999999998,153585.20999999996,26849.0
2017,12,December,9104.470000000001,153585.20999999996,21069.4
2018,1,January,7235.280000000001,153585.20999999996,16743.7
2018,2,February,6486.740000000001,153585.20999999996,15011.5
2018,3,March,6409.23,153585.20999999996,14832.1
2018,4,April,6162.34,153585.19999999995,14260.8
2018,5,May,7962.36,153585.20999999996,18426.3
2018,6,June,12226.140000000001,153585.20999999996,28293.5
2018,7,July,14190.14,153585.19999999995,32838.5
2018,8,August,14534.22,153585.20999999996,33634.8
2018,9,September,14240.100000000002,153585.20999999996,32954.1
2018,10,October,10532.460000000001,153585.20999999996,24374.0
2018,11,November,8829.369999999999,153585.19999999995,20432.7
2018,12,December,7221.130000000002,153585.20999999996,16711.0
2019,1,January,6432.73,153585.20999999996,14886.5
2019,2,February,5794.640000000001,153583.22999999995,13409.8
2019,3,March,6389.95,153583.43999999994,14787.5
2019,4,April,5929.529999999999,153583.70999999993,13722.0
2019,5,May,7618.799999999999,153583.43999999994,17631.3
2019,6,June,9689.619999999999,153582.55999999997,22423.5
2019,7,July,18658.570000000003,153583.76999999996,43179.3
2019,8,August,14154.100000000002,153585.20999999996,32755.1
2019,9,September,12975.05,153585.20999999996,30026.6
2019,10,October,12759.279999999995,153585.19999999995,29527.3
2019,11,November,10190.62,153585.19999999995,23582.9
2019,12,December,7988.709999999999,153585.20999999996,18487.3
2020,1,January,6598.030000000001,153585.20999999996,15269.0
2020,2,February,6147.349999999999,153585.20999999996,14226.1
2020,3,March,6173.06,153585.20999999996,14285.6
2020,4,April,6270.299999999999,153585.20999999996,14510.6
2020,5,May,6667.590000000002,153585.20999999996,15430.0
2020,6,June,12193.9,153583.08999999997,28218.9
2020,7,July,20990.92,153585.20999999996,48576.7
2020,8,August,17797.760000000002,153585.20999999996,41187.2
2020,9,September,16204.129999999996,153585.20999999996,37499.3
2020,10,October,14853.349999999997,153585.20999999996,34373.3
2020,11,November,11185.900000000001,153585.20999999996,25886.2
2020,12,December,8707.320000000002,153585.20999999996,20150.3
2021,1,January,6918.629999999999,153585.20999999996,16010.9
2021,2,February,6513.3,153585.20999999996,15072.9
2021,3,March,6633.919999999997,153585.20999999996,15352.1
2021,4,April,6835.400000000002,153585.20999999996,15818.3
2021,5,May,6393.939999999998,153585.20999999996,14796.7
2021,6,June,10455.159999999998,153585.20999999996,24195.1
2021,7,July,14491.62,153585.20999999996,33536.2
2021,8,August,15693.11,153585.19999999995,36316.7
2021,9,September,14136.57,153585.20999999996,32714.6
2021,10,October,12059.26,153585.20999999996,27907.3
2021,11,November,9575.589999999997,153585.20999999996,22159.6
2021,12,December,8082.38,153585.20999999996,18704.1
2022,1,January,6587.200000000001,153585.20999999996,15244.0
2022,2,February,6131.850000000001,153585.20999999996,14190.2
2022,3,March,6375.480000000001,153585.20999999996,14754.0
2022,4,April,6864.91,153585.20999999996,15886.6
2022,5,May,9188.600000000002,153585.20999999996,21264.1
2022,6,June,15943.079999999996,153585.20999999996,36895.1
2022,7,July,15834.310000000001,153585.20999999996,36643.4
2022,8,August,12993.219999999998,153585.20999999996,30068.6
2022,9,September,14529.809999999996,153585.20999999996,33624.6
2022,10,October,13235.76,153585.20999999996,30629.9
2022,11,November,10116.510000000002,153585.20999999996,23411.4
2022,12,December,7981.310000000002,153585.20999999996,18470.2
2023,1,January,6488.479999999999,153585.20999999996,15015.5
2023,2,February,5966.499999999999,153585.20999999996,13807.5
2023,3,March,6147.089999999998,153585.20999999996,14225.5
2023,4,April,6277.780000000001,153585.20999999996,14527.9
2023,5,May,6224.449999999999,153585.20999999996,14404.5
2023,6,June,7707.39,153585.20999999996,17836.3
2023,7,July,14527.349999999997,153585.20999999996,33618.9
2023,8,August,14723.789999999999,153585.20999999996,34073.5
2023,9,September,12768.409999999998,153585.20999999996,29548.4
2023,10,October,12667.030000000002,153585.20999999996,29313.8
2023,11,November,9498.13,153585.20999999996,21980.4
2023,12,December,8044.440000000002,153581.43,18616.3
2024,1,January,6350.6100000000015,153585.20999999996,14696.4
2024,2,February,6075.759999999999,153585.20999999996,14060.4
2024,3,March,5841.240000000002,153585.20999999996,13517.7
2024,4,April,6280.289999999998,153585.20999999996,14533.7
2024,5,May,6246.340000000003,153585.20999999996,14455.1
2024,6,June,14230.56,153585.20999999996,32932.1
2024,7,July,17536.320000000003,153577.29999999996,40582.2
2024,8,August,16621.989999999998,153585.19999999995,38466.3
2024,9,September,14064.060000000001,153585.20999999996,32546.8
2024,10,October,14090.390000000001,153585.20999999996,32607.7
2024,11,November,10228.11,153585.20999999996,23669.7
2024,12,December,8133.539999999998,153585.20999999996,18822.5
2025,1,January,6526.469999999998,153585.20999999996,15103.4
2025,2,February,6105.700000000002,153585.20999999996,14129.7
2025,3,March,6451.209999999999,153585.20999999996,14929.3
2025,4,April,6281.079999999999,153585.20999999996,14535.5
2025,5,May,6758.56,153585.20999999996,15640.5
2025,6,June,14148.980000000001,153585.20999999996,32743.3
2025,7,July,13154.449999999997,153585.20999999996,30441.8
2025,8,August,15119.390000000005,153585.20999999996,34989.0
2025,9,September,14105.789999999997,153585.20999999996,32643.3
2025,10,October,12038.780000000004,153585.20999999996,27859.9
2025,11,November,9947.190000000002,153585.20999999996,23019.6
2025,12,December,7841.409999999999,153585.20999999996,18146.4
