year,season,total_water_km2,monthly_mean_km2
2015,Dry Winter (Dec-Feb),42857.69999999999,14285.9
2015,Monsoon (Jun-Sep),123839.80000000008,30960.0
2015,Post-Monsoon (Oct-Nov),44935.699999999975,22467.8
2015,Pre-Monsoon (Mar-May),36504.299999999974,12168.1
2016,Dry Winter (Dec-Feb),46981.7,15660.6
2016,Monsoon (Jun-Sep),140139.59999999998,35034.9
2016,Post-Monsoon (Oct-Nov),55746.799999999974,27873.4
2016,Pre-Monsoon (Mar-May),54298.30000000002,18099.4
2017,Dry Winter (Dec-Feb),50753.79999999999,16917.9
2017,Monsoon (Jun-Sep),148885.30000000002,37221.3
2017,Post-Monsoon (Oct-Nov),58934.99999999996,29467.5
2017,Pre-Monsoon (Mar-May),61258.200000000004,20419.4
2018,Dry Winter (Dec-Feb),48465.70000000002,16155.2
2018,Monsoon (Jun-Sep),127720.79999999997,31930.2
2018,Post-Monsoon (Oct-Nov),44806.60000000002,22403.3
2018,Pre-Monsoon (Mar-May),47519.4,15839.8
2019,Dry Winter (Dec-Feb),46784.00000000002,15594.7
2019,Monsoon (Jun-Sep),128384.29999999999,32096.1
2019,Post-Monsoon (Oct-Nov),53109.69999999997,26554.8
2019,Pre-Monsoon (Mar-May),46140.200000000004,15380.1
2020,Dry Winter (Dec-Feb),49645.8,16548.6
2020,Monsoon (Jun-Sep),155482.59999999992,38870.6
2020,Post-Monsoon (Oct-Nov),60259.80000000001,30129.9
2020,Pre-Monsoon (Mar-May),44225.300000000025,14741.8
2021,Dry Winter (Dec-Feb),49787.09999999998,16595.7
2021,Monsoon (Jun-Sep),126762.89999999994,31690.7
2021,Post-Monsoon (Oct-Nov),50067.3,25033.7
2021,Pre-Monsoon (Mar-May),45966.6,15322.2
2022,Dry Winter (Dec-Feb),47904.59999999996,15968.2
2022,Monsoon (Jun-Sep),137231.99999999997,34308.0
2022,Post-Monsoon (Oct-Nov),54041.4,27020.7
2022,Pre-Monsoon (Mar-May),51904.50000000003,17301.5
2023,Dry Winter (Dec-Feb),47439.1,15813.0
2023,Monsoon (Jun-Sep),115076.60000000005,28769.2
2023,Post-Monsoon (Oct-Nov),51293.60000000001,25646.8
2023,Pre-Monsoon (Mar-May),43158.40000000002,14386.1
2024,Dry Winter (Dec-Feb),47579.100000000006,15859.7
2024,Monsoon (Jun-Sep),144526.90000000002,36131.7
2024,Post-Monsoon (Oct-Nov),56277.60000000002,28138.8
2024,Pre-Monsoon (Mar-May),42506.00000000001,14168.7
2025,Dry Winter (Dec-Feb),47380.00000000002,15793.3
2025,Monsoon (Jun-Sep),130817.2,32704.3
2025,Post-Monsoon (Oct-Nov),50879.79999999999,25439.9
2025,Pre-Monsoon (Mar-May),45104.7,15034.9
