Band Value,VV Count
-26,1
-25.75,1
-25.5,
-25.25,1
-25,3
-24.75,16
-24.5,12.055
-24.25,20
-24,51.945
-23.75,65.588
-23.5,126.325
-23.25,224.776
-23,393.318
-22.75,581.902
-22.5,820.839
-22.25,"1,188.502"
-22,"1,692.847"
-21.75,"2,167.067"
-21.5,"2,448.6"
-21.25,"2,444.722"
-21,"2,543.192"
-20.75,"2,457.608"
-20.5,"2,379.11"
-20.25,"2,368.369"
-20,"2,352.859"
-19.75,"2,458.957"
-19.5,"2,622.541"
-19.25,"2,636.482"
-19,"2,676.149"
-18.75,"2,764.306"
-18.5,"2,602.145"
-18.25,"2,527.475"
-18,"2,300.075"
-17.75,"2,082.2"
-17.5,"1,989.424"
-17.25,"1,861.863"
-17,"1,810.91"
-16.75,"1,896.447"
-16.5,"1,943.902"
-16.25,"2,038.212"
-16,"1,988.243"
-15.75,"2,133.565"
-15.5,"2,198.525"
-15.25,"2,317.804"
-15,"2,304.275"
-14.75,"2,591.961"
-14.5,"2,683.761"
-14.25,"2,845.365"
-14,"3,030.898"
-13.75,"3,112.498"
-13.5,"3,352.275"
-13.25,"3,649.631"
-13,"3,990.267"
-12.75,"4,260.298"
-12.5,"4,648.357"
-12.25,"4,831.98"
-12,"5,415.945"
-11.75,"5,736.918"
-11.5,"6,198.31"
-11.25,"6,877.808"
-11,"7,373.706"
-10.75,"8,185.506"
-10.5,"8,947.702"
-10.25,"9,966.78"
-10,"10,988.518"
-9.75,"12,288.58"
-9.5,"13,747.475"
-9.25,"15,558.871"
-9,"17,736.961"
-8.75,"20,060.894"
-8.5,"22,562.62"
-8.25,"25,374.788"
-8,"28,012.008"
-7.75,"30,377.694"
-7.5,"32,624.447"
-7.25,"32,856.557"
-7,"30,718.639"
-6.75,"27,307.278"
-6.5,"23,627.878"
-6.25,"20,240.012"
-6,"16,876.302"
-5.75,"13,851.569"
-5.5,"11,495.49"
-5.25,"9,237.478"
-5,"6,887.333"
-4.75,"5,301.831"
-4.5,"3,850.827"
-4.25,"3,070.251"
-4,"2,423.718"
-3.75,"1,800.459"
-3.5,"1,499.953"
-3.25,"1,177.765"
-3,996.392
-2.75,785.306
-2.5,678.635
-2.25,589.122
-2,441.702
-1.75,389.98
-1.5,336.859
-1.25,269.843
-1,213.004
-0.75,170.051
-0.5,116.518
-0.25,107.894
0,82.973
0.25,61.886
0.5,49.62
0.75,36.98
1,29.224
1.25,26.455
1.5,21.69
1.75,23.494
2,11.086
2.25,8
2.5,10
2.75,5
3,1
3.25,14
3.5,2
3.75,5.188
4,7
4.25,3.031
4.5,2
4.75,3
5,2
5.25,3
5.5,2
5.75,1
6,1
6.25,0.165
6.5,0.769
6.75,
7,2
7.25,
7.5,
7.75,2
8,
8.25,1
8.5,
8.75,1
