district_name,month,threshold
Bagerhat,1.0,-10.28210749710583
Bagerhat,2.0,-10.466728182246982
Bagerhat,3.0,-10.703871650312728
Bagerhat,4.0,-9.88180521119039
Bagerhat,5.0,-9.276646765438024
Bagerhat,6.0,-8.733329328689338
Bagerhat,7.0,-8.76296480063412
Bagerhat,8.0,-8.794025416670047
Bagerhat,9.0,-8.859698337436885
Bagerhat,10.0,-9.263472383134253
Bagerhat,11.0,-9.594915764544682
Bagerhat,12.0,-10.006318603099556
Bandarban,1.0,-7.501890439961232
Bandarban,2.0,-7.64118850236103
Bandarban,3.0,-7.667626659137171
Bandarban,4.0,-7.783223377822768
Bandarban,5.0,-6.8733033788298705
Bandarban,6.0,-6.158426958535452
Bandarban,7.0,-6.120248591315246
Bandarban,8.0,-6.253320734325962
Bandarban,9.0,-6.190225331828625
Bandarban,10.0,-6.099266683807247
Bandarban,11.0,-6.454055527972216
Bandarban,12.0,-7.07032367468791
Barguna,1.0,-15.676117735393309
Barguna,2.0,-15.950802900044097
Barguna,3.0,-15.280925587403527
Barguna,4.0,-14.640632950067591
Barguna,5.0,-14.081418508607326
Barguna,6.0,-13.4152193662338
Barguna,7.0,-13.467796298967444
Barguna,8.0,-12.824672167304614
Barguna,9.0,-13.959034667226797
Barguna,10.0,-14.499186649588415
Barguna,11.0,-14.49618889941977
Barguna,12.0,-14.698675321820463
Barisal,1.0,-15.39554351958063
Barisal,2.0,-15.149331835310953
Barisal,3.0,-15.09718945841527
Barisal,4.0,-14.400607027128085
Barisal,5.0,-13.498473908082934
Barisal,6.0,-12.953842686954289
Barisal,7.0,-13.117433212177728
Barisal,8.0,-13.106830269088318
Barisal,9.0,-13.07891917670747
Barisal,10.0,-13.218282587673064
Barisal,11.0,-13.592131658521792
Barisal,12.0,-14.146625857564436
Bhola,1.0,-15.986345899196772
Bhola,2.0,-16.304527311727238
Bhola,3.0,-15.468506426895097
Bhola,4.0,-15.12399546448176
Bhola,5.0,-14.529277246839756
Bhola,6.0,-14.506538165403242
Bhola,7.0,-15.157899609081305
Bhola,8.0,-16.064057518238798
Bhola,9.0,-15.293221751719262
Bhola,10.0,-15.054675531283804
Bhola,11.0,-15.830646773919229
Bhola,12.0,-15.301369982731899
Bogra,1.0,-15.018993071915299
Bogra,2.0,-10.194665043877622
Bogra,3.0,-10.165802812878638
Bogra,4.0,-9.594121952783498
Bogra,5.0,-13.944630028386719
Bogra,6.0,-13.576335702832417
Bogra,7.0,-13.370567312054884
Bogra,8.0,-12.454822285877583
Bogra,9.0,-12.723002088698069
Bogra,10.0,-12.173483245890333
Bogra,11.0,-12.117136974275263
Bogra,12.0,-12.061582562264768
Brahamanbaria,1.0,-10.02649938946826
Brahamanbaria,2.0,-9.680097754222942
Brahamanbaria,3.0,-9.88791942510499
Brahamanbaria,4.0,-9.470154300351467
Brahamanbaria,5.0,-12.242508615262501
Brahamanbaria,6.0,-12.918362957789379
Brahamanbaria,7.0,-13.598649296814001
Brahamanbaria,8.0,-14.807269076027143
Brahamanbaria,9.0,-15.401214548155968
Brahamanbaria,10.0,-14.088879280304416
Brahamanbaria,11.0,-14.499683643228984
Brahamanbaria,12.0,-10.89981699127133
Chandpur,1.0,-15.305515485890005
Chandpur,2.0,-16.126273960289424
Chandpur,3.0,-14.93128923560143
