Band Value,VV Count
-51.5,1
-51,
-50.5,
-50,
-49.5,
-49,
-48.5,
-48,
-47.5,
-47,
-46.5,
-46,
-45.5,
-45,
-44.5,
-44,
-43.5,
-43,
-42.5,
-42,
-41.5,
-41,
-40.5,
-40,
-39.5,
-39,
-38.5,
-38,
-37.5,
-37,
-36.5,
-36,
-35.5,
-35,
-34.5,
-34,1
-33.5,
-33,
-32.5,
-32,1
-31.5,
-31,
-30.5,2
-30,2
-29.5,2
-29,1
-28.5,1
-28,1
-27.5,
-27,2
-26.5,3
-26,1
-25.5,1
-25,2
-24.5,3
-24,8
-23.5,3
-23,6
-22.5,9
-22,4
-21.5,10
-21,10.894
-20.5,10
-20,8.024
-19.5,15
-19,12
-18.5,18
-18,14
-17.5,16.643
-17,16
-16.5,20.22
-16,27.118
-15.5,34.537
-15,33.502
-14.5,51.678
-14,33.984
-13.5,37
-13,40
-12.5,59.302
-12,65.133
-11.5,73.522
-11,88.208
-10.5,91.294
-10,87
-9.5,130.788
-9,136.953
-8.5,121.627
-8,156.875
-7.5,191.678
-7,225.514
-6.5,249.137
-6,232.616
-5.5,284.361
-5,333.2
-4.5,316.055
-4,350.741
-3.5,410.757
-3,402.855
-2.5,470.114
-2,486.875
-1.5,454.522
-1,522.082
-0.5,559.886
0,565.69
0.5,570.682
1,547.933
1.5,508.925
2,503.616
2.5,471.627
3,448.796
3.5,390.008
4,352.722
4.5,308.114
5,251.302
5.5,189.349
6,136.082
6.5,120.357
7,75.631
7.5,55.592
8,30.118
8.5,31.333
9,20.188
9.5,17.325
10,5.235
10.5,8.082
11,2
11.5,2
12,1
12.5,1
