"Year","January","February","March","April","May","June","July","August","September","October","November","December"
2015,1630.68175924166,1619.75787893221,1637.97235716748,1616.55647809267,1811.74699266315,3524.44194935597,2657.01194006729,2494.96273592557,2675.634522238,1815.04088033695,1747.24477564301,1662.9029137598
2016,1651.47498226092,1640.04705076204,1678.70882645439,1734.40823667187,2718.8869121309,2772.54871666407,3301.93555215364,3706.15361093544,2723.62872327233,1984.12637709219,1800.04126806019,1700.96917154722
2017,1662.81949030897,1696.93422601024,1683.38723296086,1851.58334492235,1844.58901910849,2329.07655598065,2577.54887056102,3838.24521546293,2172.23872507567,2041.4886848082,1791.78492111609,1695.69016000744
2018,1643.23589110518,1739.7278965598,1708.72113464303,1768.40487734865,1855.89344623463,2246.57004805001,2664.87330891292,2929.31584082035,2504.19551349449,1840.09273947952,1790.36412170409,1652.90806739753
2019,1689.65770216921,1646.00109233094,1740.49342275613,1704.24505179172,1993.95961533431,1876.76092452798,3092.24960354211,2794.02353778722,2370.37483268873,1916.38317451955,1785.94919279288,1663.5381907902
2020,1666.59359298864,1699.70518911712,1694.64945077576,1786.1269437707,1819.7568408313,2604.47587102153,2940.57647860205,4441.12800520394,2616.93600871936,2096.55463452663,1802.44812422286,1756.38998689718
2021,1698.15335187063,1786.60848106648,1733.66010660716,1867.11816851675,1834.53673042635,2500.27066628606,2660.62091039807,3144.70908863841,2519.75621791128,2000.19476581141,1863.40392120654,1757.93814971531
2022,1703.90318525923,1730.68359863016,1763.73466849546,1813.53472922637,1996.14084739448,2159.80540703903,2575.48574968226,3038.77839234154,2563.63596103579,1967.94298626475,1857.09439575685,1719.72402028096
2023,1731.32708261399,1718.93809600519,1751.53050747543,1767.88542561181,1826.05576108549,2008.20738132613,2291.54632980589,2930.11220008568,2351.38628647689,1910.97855238282,1754.89209698054,1710.30301724631
2024,1663.99092016672,1736.10316286338,1674.67605257931,1759.34924958076,1795.99256498194,2223.18355154763,2571.21111082006,3311.06871940488,2539.25928209604,2030.80754806554,1802.04805490243,1749.25556619564
2025,1648.67490399771,1731.88234790524,1739.74798631553,1790.22198368678,1863.81111488747,2466.34428284408,2830.99274946797,2879.45845354294,2787.3585502126,1921.90315886395,1848.79333641993,1689.99245603958
