"Year","January","February","March","April","May","June","July","August","September","October","November","December"
2015,354.507101178167,410.010913852099,340.696526149318,322.67833098387,397.203167041422,598.214684235547,701.951484761286,927.320792070726,747.6975191885,634.931631713415,463.660028596136,423.919737907736
2016,424.319694655266,424.719651402796,307.66590384321,380.793712846036,406.94618840275,704.241903045071,867.518845965721,1082.43719169545,730.499183279182,677.766142819619,534.266551164702,421.542014980446
2017,413.364751654243,409.315510674223,391.110527189028,388.456608266613,516.062346669394,764.471264961052,1043.34329584602,926.48252825103,1559.09013011929,686.639289119941,578.00234150617,447.164937402394
2018,432.165440529217,449.023107875923,404.963355612584,385.053916238821,472.15618119092,857.872686058303,919.672493838002,987.208648376134,761.425234175302,684.173872819524,515.142005993903,433.530506485359
2019,410.252836429944,437.54223967137,392.994629537125,440.520345059655,447.745379231419,708.985252820266,1062.80419032839,974.735823828072,790.088013400777,663.286376120305,550.923180208337,408.013294598886
2020,384.239813548541,395.675124696638,375.847420473771,364.190508536244,464.395587100934,757.753832436052,829.139479760011,848.559709562871,689.012119551244,658.779401367364,556.745031283824,419.090572890625
2021,406.244541795945,416.396862943233,375.763991546006,400.25145405967,435.847948718038,687.538017548602,782.473089978634,953.088613276321,743.156854576198,665.901848465472,535.899776980565,411.851363340254
2022,387.43611752747,403.369620836424,370.683621160137,383.847376995531,422.668788944194,641.571287996818,764.054279588017,801.333164997756,661.901650927688,584.068881264729,412.706863610957,332.593130316249
2023,311.408674548652,330.338539141311,298.680388808177,333.568263507028,387.955893040763,587.846310187098,595.859396237484,980.394075296136,749.634553576563,646.761416799805,477.351937529879,367.282696820014
2024,338.982502675414,339.778636892965,327.209764929837,340.986052973215,372.842750701992,659.800702419696,952.049462822986,929.161777523644,814.028450565112,667.700969427486,516.541845355036,386.73155484601
2025,369.928198292954,380.111927223093,364.770723210972,370.952144566334,415.94163875324,849.066524770692,882.534330409406,962.210740974253,764.48024456376,693.732915595688,548.104282993746,429.451409222518
