"Year","January","February","March","April","May","June","July","August","September","October","November","December"
2015,472.905200130013,540.348237142096,544.12568257032,515.692765440277,661.770089477884,1779.54858482348,1708.80255656553,1923.03272156103,1741.70068345425,896.905895765066,670.187045568915,555.993193983839
2016,547.626917529634,539.260641075429,547.639053527309,663.441760790966,856.349015455932,1209.22573333271,2814.59990584024,2298.99094541548,1429.45913825338,1099.87870740535,733.055188496438,573.724868037849
2017,530.81129550077,567.856517382326,524.500337168761,652.882343133839,825.239637216889,1136.14712822608,2116.7833877602,3032.7239754015,1645.14548580421,1216.02472346771,764.844270631763,563.071485145397
2018,526.921685170362,584.475044864078,567.007975977585,606.971384326585,776.842628725222,1101.86616948875,1495.05498818487,1488.75713953741,1265.16774364556,839.429399436757,665.143478054289,521.509063275272
2019,522.149021822028,550.047970746021,534.767567473625,551.757844333042,728.684743651811,859.124410496458,2852.2407639615,1968.43238151234,1261.5600523976,1032.61832902311,709.682168409762,561.527799511979
2020,505.26384761898,580.86074866443,575.338858638285,627.554975099498,677.044125615349,1336.3700603985,3613.63951409392,3101.46064913023,1983.76402246492,1268.3539662133,790.364742777317,611.09852091636
2021,559.049051977547,628.322177550667,628.399712780067,732.234653737129,736.239983521818,1124.33337892728,1734.17728669154,1781.55996292056,1425.3816233852,958.477386681449,705.541493074931,579.226459561899
2022,543.442868549644,556.915766475291,587.009543422071,710.738709911393,806.826259602899,1928.85677120149,1638.17895056794,1479.05945403621,1220.12604077107,1069.6198887403,769.430220674468,574.009543202298
2023,529.862086964909,596.649395522047,576.959199087822,654.33433457227,705.054109137182,908.228675704523,1554.92816329409,1693.82368100445,1135.40909981985,966.908992012328,690.672666897622,556.06917355437
2024,520.396431608165,573.578752975226,553.720956715572,644.097850204052,701.96579410831,1226.14367344954,2167.46848301641,2053.99594698768,1082.29641575177,1157.0082052303,701.33192180491,558.185118409371
2025,521.696438054301,565.845796559502,567.899829774116,630.761204837994,729.332054518957,1386.977756997,1179.7605939319,1523.14213369,1116.26345606253,864.962492710915,686.653267532541,528.116666210325
