"Year","January","February","March","April","May","June","July","August","September","October","November","December"
2015,410.148805805293,411.163784403339,189.843668324533,262.394515381361,1922.40286941909,7018.01233027359,6205.18862936573,6723.22791042227,6545.71471828251,3647.3864607576,1774.68603791263,1119.05997233762
2016,728.870806393997,338.681640450375,239.502665947051,1353.85427812338,4440.09230467942,5923.76212228054,7978.11562771439,5643.13795657688,5020.2059673875,4025.81354286412,2870.53673880892,1446.07905216838
2017,604.343326598579,281.144225677305,290.679913272335,3645.07360552636,4550.47714770127,6580.97909205763,7241.35933975247,7478.84786881411,6101.34920902479,4815.12657959111,3497.68198099767,1884.57202102821
2018,940.060605913205,462.265061758559,285.409254303991,350.75328366492,2347.08058338296,5936.77200120433,6359.94983320169,5664.56163671042,4784.00180052341,3227.24841107014,1775.00912400187,840.70390246785
2019,346.806914353374,249.514961457138,244.281003166766,284.782396149678,1609.65701707503,4401.1530511763,8397.14581604452,5959.38048847189,4559.04907259403,3958.47632086921,2620.47280696505,1120.95613295779
2020,543.5733448973,282.915520240529,250.525831823472,282.706661744589,981.742156254167,6243.69236463736,8896.12925478893,7032.86189195763,5873.26583319022,4811.99873769645,3052.25304135826,1318.60552364624
2021,507.77149652086,305.112251138174,266.977761964476,298.266639199338,420.288111130994,3598.26944829556,6482.04384897357,6711.64232171574,4539.10550904,3328.48667870748,1857.18066091064,891.666685552662
2022,352.562127092272,245.879946479948,228.605620327945,661.49341458922,3441.65543088769,9068.84472625125,8102.34243484782,6290.3391765974,5339.67211665529,4588.75220497341,2726.75472873842,1244.9564306123
2023,393.136332318647,259.389027655496,233.893820142188,313.032653847197,385.982132055427,3368.88083578053,7001.24503701238,6247.65938360403,4714.89027948632,4219.47899562695,2312.29316219559,1258.70033584458
2024,395.488223451275,258.457367463565,245.294731968712,360.179480531602,698.453268785367,8150.86073750738,8723.0526269167,7555.75563988369,5063.7516689882,4748.94900093785,2600.22346648301,1063.77683960487
2025,340.640880657054,265.358697075873,241.067123369367,258.650847368279,997.37992430874,6931.60219075125,5556.1589839341,6256.04828832714,4684.67216951537,3801.31892451294,2235.95633544725,1038.88066171381
