"Year","January","February","March","April","May","June","July","August","September","October","November","December"
2015,820.291309155817,1149.68684284503,1119.27237500033,1032.81976700367,1313.93123977191,2328.72473544455,4907.69343696444,4321.00131872209,3305.01034843287,2060.40936652929,1367.70710041554,1081.82100695096
2016,1161.13953130673,1240.4580556625,1372.70391906481,1440.61245442377,1579.88934684381,2348.01005298855,8111.61856348194,4158.83646771011,3263.09727379136,2768.59281021229,1752.99452519075,1119.77556890968
2017,1110.58863002759,1366.94787086342,1181.10684881591,1583.73405771266,1635.67547005618,2036.9240374434,5046.02607394527,6480.26464909955,3690.12913027527,2788.88707176931,1881.49294437194,1251.40000120085
2018,1150.90147730552,1457.04864964292,1363.54976167766,1428.06475291089,1563.35955598114,2227.81889461965,3594.59888876209,4237.94596036877,3064.25251867957,1878.24798277818,1462.83014583348,1064.0254990582
2019,1112.67680746193,1344.67507271765,1229.18843545898,1223.85268304536,1492.96149980634,1727.50902957122,7644.68775011012,4496.31079775049,2823.35390877195,2518.56353757043,1607.19295556488,1148.27522242249
2020,1009.02485216805,1381.11061368419,1254.86727552294,1409.37764550025,1475.877993798,2550.18232778508,8304.91534211703,5620.29155141634,3956.73376547949,3064.54700505534,1791.68046325885,1306.07464638665
2021,1169.19777111189,1446.44952751174,1445.07022052292,1734.34571034241,1673.13928364329,2244.41069890398,5024.35194922724,4240.54375555742,3173.54941652445,2347.30240732512,1537.86715960838,1173.86355254241
2022,1113.97799367878,1401.45607526989,1283.59486511728,1522.4048618465,1600.59776905064,3056.83798221391,3067.41313736127,3903.54987416418,2833.23936701251,2325.81839785644,1495.35722991137,1054.75746429866
2023,1036.64828202741,1263.75037949758,1279.23616489465,1527.42064257329,1598.71474449528,1977.76378908132,3933.85048723297,4886.17126918924,2562.61740297042,2432.37848548788,1446.50967025904,1035.51297237081
2024,1001.95972989877,1379.8086770302,1117.84797134391,1427.44209637448,1380.76991471401,2043.7029657623,5638.26979819175,4496.19831418669,2557.49809902568,2399.95160870803,1480.76366147155,1076.70123331896
2025,1073.91841078628,1285.5785333419,1296.95989381189,1435.5089309595,1580.15423263159,2444.75651337396,3836.8974440446,5057.20494513247,2915.92320850697,2096.44359244881,1624.97300546716,1128.92206017804
