"Year","January","February","March","April","May","June","July","August","September","October","November","December"
2015,622.319960992965,633.983951387584,608.573396839806,623.168950477972,713.737657338841,1815.28056031732,1740.93722223974,1722.88010512745,1563.25880188289,945.71147202099,723.973917055998,669.259002544336
2016,649.991730565139,630.724458585942,638.555045107514,715.047000786803,1050.60563856052,1381.66879497184,2152.34213551308,1899.755261173,1363.66585624619,1097.71421823363,870.66752030692,695.328368480143
2017,653.945745698131,648.901167825104,656.01422913917,720.316376925349,899.428474293206,1265.04654668189,1871.2707688876,2092.12825477908,1445.45852109288,1230.51334792302,872.403465011125,726.090457680871
2018,659.827800784758,681.02865313148,669.013298628765,698.818717943371,945.687849930361,1412.11749700379,1645.13513081155,1581.90285855845,1275.22800924654,954.155168945902,773.620329959241,678.970367547147
2019,659.215969693536,654.461789020589,678.590133814664,685.081816031411,849.763317046757,951.659655491931,2001.72804125411,1823.02293537669,1248.27389641454,1073.06884263327,839.855238605503,688.317297508353
2020,685.695506200196,685.466042416376,689.096952055607,717.60120239987,821.307079378309,1460.75789220878,2165.33211712277,1967.76705370688,1402.67775409929,1245.45531537823,909.709047256158,755.784075114664
2021,707.565715509502,722.871990556767,717.784131144788,761.832109422641,780.578816230434,1177.75686487147,1571.64454483358,1900.70779773859,1299.42356895989,1044.27019237928,855.475877327631,763.895216181461
2022,715.033148029738,730.378786778719,730.137437680404,773.857569732663,951.664713525332,1787.53970798144,1677.84082671536,1524.64567879013,1297.99516208974,1147.80274594952,889.505802404867,776.544617603573
2023,739.454993038067,737.867032061443,744.16571507901,760.385759593605,794.983183492842,966.561418889441,1457.48248503069,1660.03908842409,1249.50906980448,1076.66205787343,821.264630078297,765.640111940304
2024,727.577471899805,742.353406362313,727.913965400571,773.547914590411,810.716455726812,1344.36266611462,1773.87929290327,2290.38550374865,1689.27856704503,1220.28076030273,888.593243972814,785.805165246036
2025,720.791519612182,753.284616141502,750.956340641632,789.103075360229,848.621449044259,1586.55936319136,1558.45524099587,1611.78767689939,1243.69053210334,1055.82519973036,879.868085031407,756.37255345252
